mh_level,scope_id,dataset_name,dataset_granularity,scope_kind,scope_market,detector_combination,test_case_name,anomaly_case,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,extreme_outlier,0.05857345299952763,0.96875,0.12235675042626112,0.7925471010721349,0.2074528989278651,0.03125,0.8955893278157914,124.0,1993.0,4.0,7614.0,128.0,9607.0,2117.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,extreme_outlier,0.04352218200185201,0.9086115992970123,0.08879728406155525,0.7590652699435939,0.24093473005640612,0.0913884007029877,0.8550411217164293,517.0,11362.0,52.0,35796.0,569.0,47158.0,11879.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,negative_price,0.02427016156993274,1.0,0.045168750866093565,0.5080929907358853,0.4919070092641147,0.0,0.7205138696118916,350.0,14071.0,0.0,14534.0,350.0,28605.0,14421.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,negative_price,0.024629612154383317,1.0,0.06402561929483076,0.5112771289422667,0.4887228710577332,0.0,0.7810794182388243,261.0,10336.0,0.0,10813.0,261.0,21149.0,10597.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,negative_price,0.03468208092485549,1.0,0.08084677419354838,0.6731298550370053,0.32687014496299466,0.0,0.8453530417450976,192.0,5344.0,0.0,11005.0,192.0,16349.0,5536.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,negative_price,0.038644637356482776,0.8961038961038961,0.08902205177372963,0.737598410150577,0.2624015898494229,0.1038961038961039,0.8619138884600528,138.0,3433.0,16.0,9650.0,154.0,13083.0,3571.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,negative_price,0.05290505432215399,0.9411764705882353,0.10891957446623207,0.7914933444259568,0.20850665557404327,0.058823529411764705,0.8903983459900335,112.0,2005.0,7.0,7611.0,119.0,9616.0,2117.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,negative_price,0.040828352554928865,0.8262350936967632,0.08693304743533317,0.7582944420873993,0.24170555791260076,0.1737649063032368,0.8357484234534542,485.0,11394.0,102.0,35746.0,587.0,47140.0,11879.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,price_drop,0.019832189168573607,0.7428571428571429,0.045102986048630174,0.5052502625131257,0.49474973748687434,0.2571428571428571,0.6789138079348029,286.0,14135.0,99.0,14435.0,385.0,28570.0,14421.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,price_drop,0.017552137397376617,0.7099236641221374,0.051871343615529655,0.5077075846415736,0.4922924153584263,0.2900763358778626,0.7336588022212585,186.0,10411.0,76.0,10737.0,262.0,21148.0,10597.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,price_drop,0.02745664739884393,0.7562189054726368,0.06824918606346277,0.6705018359853121,0.3294981640146879,0.24378109452736318,0.7905832042874477,152.0,5384.0,49.0,10956.0,201.0,16340.0,5536.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,price_drop,0.03500420050406049,0.7716049382716049,0.07785138624728023,0.7364435946462715,0.2635564053537285,0.22839506172839505,0.799566079520283,125.0,3446.0,37.0,9629.0,162.0,13075.0,3571.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,price_drop,0.04676428908833254,0.7734375,0.10683921568627451,0.789944831893411,0.21005516810658895,0.2265625,0.8043228959947557,99.0,2018.0,29.0,7589.0,128.0,9607.0,2117.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,price_drop,0.03788197659735668,0.7450331125827815,0.08026270987509421,0.7574645077775184,0.24253549222248158,0.25496688741721857,0.7875643909482108,450.0,11429.0,154.0,35694.0,604.0,47123.0,11879.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,price_noise,0.013799320435476043,0.5905044510385756,0.027272229588628637,0.5030400447270948,0.49695995527290515,0.4094955489614243,0.535151970124435,199.0,14222.0,138.0,14396.0,337.0,28618.0,14421.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,price_noise,0.012267622912144947,0.5220883534136547,0.02718599438921754,0.5053636406597042,0.4946363593402958,0.4779116465863454,0.5215344252147658,130.0,10467.0,119.0,10694.0,249.0,21161.0,10597.0
