detector_combination,valid_scope_mh_evaluations,unique_scopes,mean_recall,std_recall,min_recall,max_recall,scope_mean_recall_std
Z-score,68,12,0.6642741879632451,0.10369332681074546,0.3565517094653532,1.0,0.08844910537344342
IF,68,12,0.8143152176186791,0.08872013915720664,0.5658602988548745,1.0,0.06209240482176731
